State/UnionTerritory,Cured,Deaths,Confirmed
Kerala,0,0,1
Kerala,0,0,1
Kerala,0,0,2
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Kerala,0,0,3
Telangana,0,0,1
Kerala,0,0,3
Delhi,0,0,1
Telangana,0,0,1
Rajasthan,0,0,1
Kerala,3,0,3
Delhi,0,0,1
Uttar Pradesh,0,0,6
Kerala,3,0,3
Haryana,0,0,2
Delhi,0,0,1
Telangana,0,0,1
Rajasthan,0,0,15
Delhi,0,0,2
Haryana,0,0,2
Kerala,3,0,3
Rajasthan,0,0,15
Telangana,0,0,1
Uttar Pradesh,0,0,7
Delhi,0,0,3
Haryana,0,0,2
Kerala,3,0,3
Rajasthan,0,0,15
Uttar Pradesh,0,0,7
Telangana,0,0,1
Kerala,3,0,3
Uttar Pradesh,0,0,7
Ladakh,0,0,2
Telangana,0,0,1
Tamil Nadu,0,0,1
Delhi,0,0,3
Haryana,0,0,2
Rajasthan,0,0,15
Ladakh,0,0,2
Telangana,0,0,1
Tamil Nadu,0,0,1
Rajasthan,0,0,15
Kerala,3,0,8
Haryana,0,0,2
Delhi,0,0,3
Uttar Pradesh,0,0,7
Ladakh,0,0,2
Karnataka,0,0,1
Kerala,3,0,9
Maharashtra,0,0,2
Punjab,0,0,1
Rajasthan,0,0,15
Tamil Nadu,0,0,1
Telangana,0,0,1
Jammu and Kashmir,0,0,1
Uttar Pradesh,0,0,7
Haryana,0,0,2
Delhi,0,0,4
Uttar Pradesh,0,0,7
Ladakh,0,0,2
Delhi,0,0,4
Haryana,0,0,2
Karnataka,0,0,4
Kerala,3,0,15
Maharashtra,0,0,5
Punjab,0,0,1
Rajasthan,0,0,15
Tamil Nadu,0,0,1
Telangana,0,0,1
Jammu and Kashmir,0,0,1
Maharashtra,0,0,2
Delhi,0,0,5
Haryana,0,0,14
Kerala,3,0,17
Rajasthan,0,0,3
Telangana,0,0,1
Uttar Pradesh,0,0,9
Ladakh,0,0,2
Tamil Nadu,0,0,1
Jammu and Kashmir,0,0,1
Punjab,0,0,1
Karnataka,0,0,4
Delhi,0,0,6
Haryana,0,0,14
Kerala,3,0,17
Rajasthan,0,0,3
Telangana,0,0,1
Uttar Pradesh,0,0,11
Ladakh,0,0,3
Tamil Nadu,0,0,1
Jammu and Kashmir,0,0,1
Punjab,0,0,1
Karnataka,0,0,4
Maharashtra,0,0,11
Andhra Pradesh,0,0,1
Delhi,0,0,6
Haryana,0,0,14
Kerala,3,0,19
Rajasthan,0,0,3
Telangana,0,0,1
Uttar Pradesh,0,0,11
Ladakh,0,0,3
Tamil Nadu,0,0,1
Jammu and Kashmir,0,0,1
Punjab,0,0,1
Karnataka,0,1,6
Maharashtra,0,0,14
Andhra Pradesh,0,0,1
Delhi,1,1,7
Haryana,0,0,14
Kerala,3,0,19
Rajasthan,1,0,3
Telangana,0,0,1
Uttar Pradesh,5,0,12
Ladakh,0,0,3
Tamil Nadu,0,0,1
Jammu and Kashmir,0,0,2
Punjab,0,0,1
Karnataka,0,1,6
Maharashtra,0,0,14
Andhra Pradesh,0,0,1
Andhra Pradesh,0,0,1
Delhi,2,1,7
Haryana,0,0,14
Karnataka,0,1,6
Kerala,3,0,22
Maharashtra,0,0,32
Punjab,0,0,1
Rajasthan,3,0,4
Tamil Nadu,0,0,1
Telangana,1,0,3
Jammu and Kashmir,0,0,2
Ladakh,0,0,3
Uttar Pradesh,4,0,13
Uttarakhand,0,0,1
Andhra Pradesh,0,0,1
Delhi,2,1,7
Haryana,0,0,14
Karnataka,0,1,6
Kerala,3,0,23
Maharashtra,0,0,32
Odisha,0,0,1
Punjab,0,0,1
Rajasthan,3,0,4
Tamil Nadu,0,0,1
Telangana,1,0,3
Jammu and Kashmir,0,0,3
Ladakh,0,0,4
Uttar Pradesh,4,0,13
Uttarakhand,0,0,1
Andhra Pradesh,0,0,1
Delhi,2,1,8
Haryana,0,0,15
Karnataka,0,1,11
Kerala,3,0,26
Maharashtra,0,1,39
Odisha,0,0,1
Punjab,0,0,1
Rajasthan,3,0,4
Tamil Nadu,0,0,1
Telangana,1,0,5
Jammu and Kashmir,0,0,3
Ladakh,0,0,6
Uttar Pradesh,5,0,15
Uttarakhand,0,0,1
Andhra Pradesh,0,0,1
Delhi,2,1,10
Haryana,0,0,17
Karnataka,0,1,11
Kerala,3,0,27
Maharashtra,0,1,42
Odisha,0,0,1
Puducherry,0,0,1
Punjab,0,0,1
Rajasthan,3,0,4
Tamil Nadu,0,0,1
Telangana,1,0,6
Jammu and Kashmir,0,0,3
Ladakh,0,0,8
Uttar Pradesh,5,0,16
Uttarakhand,0,0,1
West Bengal,0,0,1
Andhra Pradesh,0,0,2
Chhattisgarh,0,0,1
Delhi,3,1,12
Haryana,0,0,17
Karnataka,0,1,14
Kerala,3,0,27
Maharashtra,0,1,47
Odisha,0,0,1
Puducherry,0,0,1
Punjab,0,1,2
Rajasthan,3,0,7
Tamil Nadu,1,0,2
Telangana,1,0,6
Chandigarh,0,0,1
Jammu and Kashmir,0,0,4
Ladakh,0,0,8
Uttar Pradesh,9,0,19
Uttarakhand,0,0,1
West Bengal,0,0,1
Andhra Pradesh,0,0,3
Chhattisgarh,0,0,1
Delhi,5,1,17
Gujarat,0,0,5
Haryana,0,0,17
Karnataka,1,1,15
Kerala,3,0,28
Maharashtra,0,1,52
Odisha,0,0,2
Puducherry,0,0,1
Punjab,0,1,2
Rajasthan,3,0,17
Tamil Nadu,1,0,3
Telangana,1,0,17
Chandigarh,0,0,1
Jammu and Kashmir,0,0,4
Ladakh,0,0,10
Uttar Pradesh,9,0,23
Uttarakhand,0,0,3
West Bengal,0,0,2
Andhra Pradesh,0,0,3
Chhattisgarh,0,0,1
Delhi,5,1,26
Gujarat,0,0,7
Haryana,0,0,17
Himachal Pradesh,0,0,2
Karnataka,1,1,15
Kerala,3,0,40
Madhya Pradesh,0,0,4
Maharashtra,0,1,63
Odisha,0,0,2
Puducherry,0,0,1
Punjab,0,1,13
Rajasthan,3,0,17
Tamil Nadu,1,0,3
Telangana,1,0,21
Chandigarh,0,0,1
Jammu and Kashmir,0,0,4
Ladakh,0,0,13
Uttar Pradesh,9,0,24
Uttarakhand,0,0,3
West Bengal,0,0,3
Andhra Pradesh,0,0,5
Bihar,0,1,2
Chhattisgarh,0,0,1
Delhi,5,1,29
Gujarat,0,1,18
Haryana,0,0,21
Himachal Pradesh,0,0,2
Karnataka,2,1,26
Kerala,3,0,52
Madhya Pradesh,0,0,4
Maharashtra,0,2,67
Odisha,0,0,2
Puducherry,0,0,1
Punjab,0,1,21
Rajasthan,3,0,24
Tamil Nadu,1,0,7
Telangana,1,0,22
Chandigarh,0,0,5
Jammu and Kashmir,0,0,4
Ladakh,0,0,13
Uttar Pradesh,9,0,27
Uttarakhand,0,0,3
West Bengal,0,0,4
Andhra Pradesh,0,0,7
Bihar,0,1,2
Chhattisgarh,0,0,1
Delhi,5,1,29
Gujarat,0,1,29
Haryana,0,0,26
Himachal Pradesh,0,0,2
Karnataka,2,1,33
Kerala,3,0,67
Madhya Pradesh,0,0,6
Maharashtra,0,2,74
Odisha,0,0,2
Puducherry,0,0,1
Punjab,0,1,21
Rajasthan,3,0,28
Tamil Nadu,1,0,9
Telangana,1,0,32
Chandigarh,0,0,6
Jammu and Kashmir,0,0,4
Ladakh,0,0,13
Uttar Pradesh,9,0,31
Uttarakhand,0,0,3
West Bengal,0,0,7
Andhra Pradesh,0,0,8
